time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-02 00:00:00+00:00,13,5,27,22
2025-09-03 00:00:00+00:00,5,4,30,17
2025-09-04 00:00:00+00:00,11,9,20,14
2025-09-05 00:00:00+00:00,5,5,28,14
2025-09-06 00:00:00+00:00,6,6,11,6
2025-09-07 00:00:00+00:00,10,9,14,8
2025-09-08 00:00:00+00:00,6,5,53,20
2025-09-09 00:00:00+00:00,10,9,34,16
2025-09-10 00:00:00+00:00,4,4,23,13
2025-09-11 00:00:00+00:00,4,3,40,15
2025-09-12 00:00:00+00:00,10,9,29,14
2025-09-13 00:00:00+00:00,1,1,8,8
2025-09-14 00:00:00+00:00,10,9,6,5
2025-09-15 00:00:00+00:00,2,2,19,17
