time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-29 00:00:00+00:00,6.0,5.0,60,20
2024-01-30 00:00:00+00:00,6.0,2.0,64,18
2024-01-31 00:00:00+00:00,6.0,2.0,74,31
2024-02-01 00:00:00+00:00,1.0,1.0,131,22
2024-02-02 00:00:00+00:00,8.0,3.0,26,11
2024-02-03 00:00:00+00:00,3.0,2.0,44,9
2024-02-04 00:00:00+00:00,7.0,3.0,15,11
2024-02-05 00:00:00+00:00,8.0,4.0,188,20
2024-02-06 00:00:00+00:00,1.0,1.0,70,23
2024-02-07 00:00:00+00:00,10.0,4.0,187,29
2024-02-08 00:00:00+00:00,6.0,2.0,116,21
2024-02-09 00:00:00+00:00,2.0,2.0,92,14
2024-02-10 00:00:00+00:00,7.0,3.0,35,9
2024-02-11 00:00:00+00:00,,,34,9
