time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-26 00:00:00+00:00,2.0,1.0,7,4
2025-01-27 00:00:00+00:00,1.0,1.0,48,15
2025-01-28 00:00:00+00:00,1.0,1.0,36,14
2025-01-29 00:00:00+00:00,,,30,16
2025-01-30 00:00:00+00:00,10.0,4.0,22,17
2025-01-31 00:00:00+00:00,7.0,5.0,25,14
2025-02-01 00:00:00+00:00,16.0,6.0,16,6
2025-02-02 00:00:00+00:00,1.0,1.0,38,8
2025-02-03 00:00:00+00:00,11.0,6.0,64,24
2025-02-04 00:00:00+00:00,9.0,3.0,43,19
2025-02-05 00:00:00+00:00,11.0,4.0,42,18
2025-02-06 00:00:00+00:00,2.0,2.0,30,15
2025-02-07 00:00:00+00:00,11.0,3.0,25,13
2025-02-08 00:00:00+00:00,,,12,11
