time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-07 00:00:00+00:00,4,4,113,29
2024-05-08 00:00:00+00:00,7,3,62,19
2024-05-09 00:00:00+00:00,1,1,48,18
2024-05-10 00:00:00+00:00,10,3,89,22
2024-05-11 00:00:00+00:00,11,4,124,10
2024-05-12 00:00:00+00:00,1,1,58,12
2024-05-13 00:00:00+00:00,11,4,87,25
2024-05-14 00:00:00+00:00,1,1,83,24
2024-05-15 00:00:00+00:00,7,3,129,23
2024-05-16 00:00:00+00:00,4,2,52,25
2024-05-17 00:00:00+00:00,6,2,76,28
2024-05-18 00:00:00+00:00,6,2,53,14
2024-05-19 00:00:00+00:00,1,1,44,10
2024-05-20 00:00:00+00:00,6,2,30,12
