time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-26 00:00:00+00:00,3,3,16,5
2023-12-27 00:00:00+00:00,7,3,150,13
2023-12-28 00:00:00+00:00,6,2,27,16
2023-12-29 00:00:00+00:00,2,2,70,13
2023-12-30 00:00:00+00:00,6,2,15,8
2023-12-31 00:00:00+00:00,7,3,34,9
2024-01-01 00:00:00+00:00,6,4,6,4
2024-01-02 00:00:00+00:00,6,2,110,18
2024-01-03 00:00:00+00:00,6,2,41,11
2024-01-04 00:00:00+00:00,1,1,15,11
2024-01-05 00:00:00+00:00,7,3,115,19
2024-01-06 00:00:00+00:00,8,4,8,6
2024-01-07 00:00:00+00:00,1,1,58,17
2024-01-08 00:00:00+00:00,6,2,97,18
