referrer,views_total,views_unique
Google,244,59
github.com,164,27
tsfresh.readthedocs.io,18,6
benfulcher.github.io,18,4
time-series-features.gitbook.io,13,3
ya.ru,9,1
com.google.android.gm,7,1
paperswithcode.com,5,5
direct.mit.edu,5,1
nature.com,4,1
