time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-07 00:00:00+00:00,2.0,2.0,52,29
2024-10-08 00:00:00+00:00,2.0,2.0,37,17
2024-10-09 00:00:00+00:00,3.0,1.0,52,18
2024-10-10 00:00:00+00:00,2.0,2.0,58,27
2024-10-11 00:00:00+00:00,,,32,24
2024-10-12 00:00:00+00:00,,,27,11
2024-10-13 00:00:00+00:00,1.0,1.0,14,12
2024-10-14 00:00:00+00:00,1.0,1.0,60,25
2024-10-15 00:00:00+00:00,3.0,2.0,50,25
2024-10-16 00:00:00+00:00,,,73,21
2024-10-17 00:00:00+00:00,4.0,4.0,66,27
2024-10-18 00:00:00+00:00,3.0,2.0,68,19
2024-10-19 00:00:00+00:00,,,6,6
2024-10-20 00:00:00+00:00,,,9,6
