time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-06 00:00:00+00:00,19,9,8,5
2026-06-07 00:00:00+00:00,14,8,7,3
2026-06-08 00:00:00+00:00,16,7,12,12
2026-06-09 00:00:00+00:00,24,12,14,12
2026-06-10 00:00:00+00:00,11,6,26,9
2026-06-11 00:00:00+00:00,9,4,14,9
2026-06-12 00:00:00+00:00,24,7,32,11
2026-06-13 00:00:00+00:00,16,6,9,5
2026-06-14 00:00:00+00:00,39,15,16,11
2026-06-15 00:00:00+00:00,19,7,37,13
2026-06-16 00:00:00+00:00,28,9,18,11
2026-06-17 00:00:00+00:00,17,7,37,23
2026-06-18 00:00:00+00:00,20,7,20,12
2026-06-19 00:00:00+00:00,47,12,38,16
