time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-03 00:00:00+00:00,1.0,1.0,121,6
2024-08-04 00:00:00+00:00,3.0,2.0,156,6
2024-08-05 00:00:00+00:00,6.0,4.0,33,10
2024-08-06 00:00:00+00:00,2.0,2.0,137,21
2024-08-07 00:00:00+00:00,,,94,22
2024-08-08 00:00:00+00:00,,,71,26
2024-08-09 00:00:00+00:00,2.0,1.0,45,19
2024-08-10 00:00:00+00:00,3.0,2.0,93,10
2024-08-11 00:00:00+00:00,3.0,2.0,54,7
2024-08-12 00:00:00+00:00,,,85,20
2024-08-13 00:00:00+00:00,1.0,1.0,128,27
2024-08-14 00:00:00+00:00,1.0,1.0,109,18
2024-08-15 00:00:00+00:00,1.0,1.0,82,17
2024-08-16 00:00:00+00:00,,,36,19
