time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-14 00:00:00+00:00,6,2,34,16
2023-12-15 00:00:00+00:00,3,3,118,14
2023-12-16 00:00:00+00:00,7,3,15,8
2023-12-17 00:00:00+00:00,7,3,18,8
2023-12-18 00:00:00+00:00,2,2,69,12
2023-12-19 00:00:00+00:00,7,3,62,19
2023-12-20 00:00:00+00:00,7,3,78,16
2023-12-21 00:00:00+00:00,2,2,27,12
2023-12-22 00:00:00+00:00,6,2,23,13
2023-12-23 00:00:00+00:00,6,2,41,6
2023-12-24 00:00:00+00:00,1,1,21,11
2023-12-25 00:00:00+00:00,7,3,18,7
2023-12-26 00:00:00+00:00,3,3,16,5
2023-12-27 00:00:00+00:00,6,2,149,12
