time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-03 00:00:00+00:00,11,6,11,11
2026-07-04 00:00:00+00:00,21,10,8,7
2026-07-05 00:00:00+00:00,14,9,6,6
2026-07-06 00:00:00+00:00,13,7,11,7
2026-07-07 00:00:00+00:00,20,7,16,8
2026-07-08 00:00:00+00:00,13,6,10,7
2026-07-09 00:00:00+00:00,12,8,13,11
2026-07-10 00:00:00+00:00,17,10,26,12
2026-07-11 00:00:00+00:00,4,4,4,4
2026-07-12 00:00:00+00:00,11,6,4,4
2026-07-13 00:00:00+00:00,20,9,2,2
2026-07-14 00:00:00+00:00,18,9,13,7
2026-07-15 00:00:00+00:00,28,11,9,6
2026-07-16 00:00:00+00:00,9,5,10,9
