time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-21 00:00:00+00:00,23,7,16,12
2026-05-22 00:00:00+00:00,24,8,11,9
2026-05-23 00:00:00+00:00,13,8,4,4
2026-05-24 00:00:00+00:00,19,10,11,8
2026-05-25 00:00:00+00:00,27,13,15,10
2026-05-26 00:00:00+00:00,31,15,13,11
2026-05-27 00:00:00+00:00,20,9,10,8
2026-05-28 00:00:00+00:00,19,9,35,17
2026-05-29 00:00:00+00:00,12,7,23,14
2026-05-30 00:00:00+00:00,9,4,18,13
2026-05-31 00:00:00+00:00,10,4,15,15
2026-06-01 00:00:00+00:00,11,6,23,15
2026-06-02 00:00:00+00:00,14,5,11,7
2026-06-03 00:00:00+00:00,21,12,11,8
