time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-21 00:00:00+00:00,6.0,5.0,15,10
2025-09-22 00:00:00+00:00,11.0,10.0,79,25
2025-09-23 00:00:00+00:00,10.0,7.0,33,17
2025-09-24 00:00:00+00:00,2.0,2.0,57,18
2025-09-25 00:00:00+00:00,12.0,10.0,32,19
2025-09-26 00:00:00+00:00,4.0,4.0,35,22
2025-09-27 00:00:00+00:00,4.0,3.0,35,9
2025-09-28 00:00:00+00:00,8.0,7.0,11,7
2025-09-29 00:00:00+00:00,8.0,6.0,30,15
2025-09-30 00:00:00+00:00,13.0,13.0,35,18
2025-10-01 00:00:00+00:00,8.0,4.0,26,9
2025-10-02 00:00:00+00:00,16.0,16.0,50,13
2025-10-03 00:00:00+00:00,10.0,8.0,72,8
2025-10-04 00:00:00+00:00,,,7,2
