time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-22 00:00:00+00:00,20,7,35,19
2025-05-23 00:00:00+00:00,14,6,55,15
2025-05-24 00:00:00+00:00,14,4,22,7
2025-05-25 00:00:00+00:00,11,4,30,8
2025-05-26 00:00:00+00:00,18,5,67,25
2025-05-27 00:00:00+00:00,15,5,99,25
2025-05-28 00:00:00+00:00,13,3,31,13
2025-05-29 00:00:00+00:00,8,2,14,7
2025-05-30 00:00:00+00:00,10,3,38,14
2025-05-31 00:00:00+00:00,16,5,6,5
2025-06-01 00:00:00+00:00,13,4,2,2
2025-06-02 00:00:00+00:00,20,6,50,20
2025-06-03 00:00:00+00:00,14,4,47,20
2025-06-04 00:00:00+00:00,9,5,62,17
