referrer,views_total,views_unique
Google,66,33
medium.com,40,2
github.com,35,21
time-series-features.gitbook.io,23,18
search.brave.com,7,4
Bing,6,4
readmedium.com,6,1
nature.com,3,3
ecosia.org,2,2
tsfresh.readthedocs.io,2,2
