time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-09 00:00:00+00:00,10,9,34,16
2025-09-10 00:00:00+00:00,4,4,23,13
2025-09-11 00:00:00+00:00,4,3,40,15
2025-09-12 00:00:00+00:00,10,9,29,14
2025-09-13 00:00:00+00:00,1,1,8,8
2025-09-14 00:00:00+00:00,10,9,6,5
2025-09-15 00:00:00+00:00,6,6,19,17
2025-09-16 00:00:00+00:00,35,25,71,16
2025-09-17 00:00:00+00:00,13,10,83,15
2025-09-18 00:00:00+00:00,9,7,16,8
2025-09-19 00:00:00+00:00,10,7,31,15
2025-09-20 00:00:00+00:00,7,7,19,7
2025-09-21 00:00:00+00:00,6,5,15,10
2025-09-22 00:00:00+00:00,9,8,66,23
