referrer,views_total,views_unique
Google,222,31
github.com,121,40
tsfresh.readthedocs.io,23,3
medium.com,23,2
hctsa-users.gitbook.io,9,6
paperswithcode.com,9,2
link.zhihu.com,4,4
hub.nuaa.cf,4,1
us.search.yahoo.com,3,1
opentimeseries.com,2,2
