time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-14 00:00:00+00:00,207,204,23,6
2026-08-15 00:00:00+00:00,6,4,5,3
2026-08-16 00:00:00+00:00,24,10,15,11
2026-08-17 00:00:00+00:00,12,6,40,14
2026-08-18 00:00:00+00:00,550,14,35,19
2026-08-19 00:00:00+00:00,10,7,12,11
2026-08-20 00:00:00+00:00,35,22,22,13
2026-08-21 00:00:00+00:00,20,11,15,13
2026-08-22 00:00:00+00:00,11,11,10,7
2026-08-23 00:00:00+00:00,8,6,6,6
2026-08-24 00:00:00+00:00,7,6,20,13
2026-08-25 00:00:00+00:00,10,9,14,13
2026-08-26 00:00:00+00:00,9,4,44,17
2026-08-27 00:00:00+00:00,13,8,20,12
