time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-21 00:00:00+00:00,1,1,8,6
2026-03-22 00:00:00+00:00,2,2,19,8
2026-03-23 00:00:00+00:00,3,3,13,13
2026-03-24 00:00:00+00:00,11,6,8,4
2026-03-25 00:00:00+00:00,13,5,26,15
2026-03-26 00:00:00+00:00,17,9,29,15
2026-03-27 00:00:00+00:00,7,6,27,12
2026-03-28 00:00:00+00:00,13,8,14,7
2026-03-29 00:00:00+00:00,11,7,14,11
2026-03-30 00:00:00+00:00,10,6,14,12
2026-03-31 00:00:00+00:00,20,11,23,16
2026-04-01 00:00:00+00:00,15,10,55,14
2026-04-02 00:00:00+00:00,14,6,51,22
2026-04-03 00:00:00+00:00,15,10,32,14
