time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-08 00:00:00+00:00,7.0,3.0,97,18
2024-01-09 00:00:00+00:00,8.0,3.0,45,20
2024-01-10 00:00:00+00:00,3.0,2.0,105,21
2024-01-11 00:00:00+00:00,9.0,5.0,53,19
2024-01-12 00:00:00+00:00,2.0,2.0,65,15
2024-01-13 00:00:00+00:00,6.0,2.0,55,8
2024-01-14 00:00:00+00:00,6.0,2.0,52,8
2024-01-15 00:00:00+00:00,5.0,4.0,143,23
2024-01-16 00:00:00+00:00,6.0,2.0,61,18
2024-01-17 00:00:00+00:00,6.0,2.0,148,23
2024-01-18 00:00:00+00:00,2.0,2.0,133,18
2024-01-19 00:00:00+00:00,7.0,3.0,113,26
2024-01-20 00:00:00+00:00,8.0,4.0,88,11
2024-01-21 00:00:00+00:00,,,35,10
