time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-18 00:00:00+00:00,1.0,1.0,22,11
2025-01-19 00:00:00+00:00,3.0,1.0,50,9
2025-01-20 00:00:00+00:00,1.0,1.0,52,24
2025-01-21 00:00:00+00:00,1.0,1.0,35,15
2025-01-22 00:00:00+00:00,2.0,1.0,36,16
2025-01-23 00:00:00+00:00,3.0,2.0,63,26
2025-01-24 00:00:00+00:00,2.0,1.0,38,19
2025-01-25 00:00:00+00:00,1.0,1.0,15,7
2025-01-26 00:00:00+00:00,2.0,1.0,7,4
2025-01-27 00:00:00+00:00,1.0,1.0,48,15
2025-01-28 00:00:00+00:00,1.0,1.0,36,14
2025-01-29 00:00:00+00:00,,,30,16
2025-01-30 00:00:00+00:00,10.0,4.0,22,17
2025-01-31 00:00:00+00:00,3.0,3.0,25,14
