time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-03 00:00:00+00:00,6,2,46,16
2024-05-04 00:00:00+00:00,7,3,16,8
2024-05-05 00:00:00+00:00,27,3,23,8
2024-05-06 00:00:00+00:00,7,3,91,18
2024-05-07 00:00:00+00:00,4,4,113,29
2024-05-08 00:00:00+00:00,7,3,62,19
2024-05-09 00:00:00+00:00,1,1,48,18
2024-05-10 00:00:00+00:00,10,3,89,22
2024-05-11 00:00:00+00:00,11,4,124,10
2024-05-12 00:00:00+00:00,1,1,58,12
2024-05-13 00:00:00+00:00,11,4,87,25
2024-05-14 00:00:00+00:00,1,1,83,24
2024-05-15 00:00:00+00:00,7,3,129,23
2024-05-16 00:00:00+00:00,3,1,51,25
