time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-07 00:00:00+00:00,10,5,53,22
2025-11-08 00:00:00+00:00,9,8,4,4
2025-11-09 00:00:00+00:00,9,4,11,11
2025-11-10 00:00:00+00:00,8,8,92,27
2025-11-11 00:00:00+00:00,15,5,36,18
2025-11-12 00:00:00+00:00,12,6,64,30
2025-11-13 00:00:00+00:00,10,5,34,18
2025-11-14 00:00:00+00:00,6,5,20,16
2025-11-15 00:00:00+00:00,6,5,12,9
2025-11-16 00:00:00+00:00,4,4,22,16
2025-11-17 00:00:00+00:00,6,6,53,28
2025-11-18 00:00:00+00:00,7,6,58,19
2025-11-19 00:00:00+00:00,8,8,19,13
2025-11-20 00:00:00+00:00,4,3,20,13
