referrer,views_total,views_unique
Google,127,57
github.com,30,15
benfulcher.github.io,7,3
tsfresh.readthedocs.io,6,5
Bing,6,4
chatgpt.com,6,2
yandex.ru,4,2
cell.com,4,1
paperswithcode.com,3,3
juliahub.com,3,2
