referrer,views_total,views_unique
Google,50,34
medium.com,40,2
github.com,38,22
benfulcher.github.io,10,3
search.brave.com,7,5
time-series-features.gitbook.io,6,4
readmedium.com,6,1
benfulcher.com,5,3
Bing,4,4
tsfresh.readthedocs.io,4,4
