time_iso8601,forks_cumulative
2021-04-24 00:00:00+00:00,182
2021-05-05 00:00:00+00:00,183
2021-05-11 00:00:00+00:00,184
2021-05-23 00:00:00+00:00,186
2021-05-27 00:00:00+00:00,188
2021-06-02 00:00:00+00:00,189
2021-06-22 00:00:00+00:00,190
2021-06-29 00:00:00+00:00,191
2021-06-30 00:00:00+00:00,192
2021-07-06 00:00:00+00:00,193
2021-07-10 00:00:00+00:00,194
2021-07-22 00:00:00+00:00,195
2021-08-22 00:00:00+00:00,196
2021-08-24 00:00:00+00:00,197
2021-09-13 00:00:00+00:00,198
2021-09-16 00:00:00+00:00,199
2021-09-17 00:00:00+00:00,200
2021-10-06 00:00:00+00:00,201
2021-10-13 00:00:00+00:00,202
2021-11-03 00:00:00+00:00,203
2021-12-01 00:00:00+00:00,204
2021-12-03 00:00:00+00:00,205
2021-12-07 00:00:00+00:00,206
2021-12-09 00:00:00+00:00,207
2022-01-31 00:00:00+00:00,208
2022-03-02 00:00:00+00:00,209
2022-03-07 00:00:00+00:00,210
2022-03-25 00:00:00+00:00,211
2022-04-11 00:00:00+00:00,212
2022-04-18 00:00:00+00:00,213
2022-04-19 00:00:00+00:00,215
2022-05-09 00:00:00+00:00,216
2022-05-11 00:00:00+00:00,217
2022-05-20 00:00:00+00:00,218
2022-05-23 00:00:00+00:00,219
2022-06-11 00:00:00+00:00,220
2022-06-16 00:00:00+00:00,221
2022-06-20 00:00:00+00:00,222
2022-07-01 00:00:00+00:00,223
2022-08-02 00:00:00+00:00,224
2022-08-23 00:00:00+00:00,225
2022-08-30 00:00:00+00:00,226
2022-09-08 00:00:00+00:00,228
2022-09-14 00:00:00+00:00,229
2022-09-25 00:00:00+00:00,230
2022-10-11 00:00:00+00:00,231
2022-11-01 00:00:00+00:00,232
2022-11-11 00:00:00+00:00,233
2022-11-14 00:00:00+00:00,234
2022-11-29 00:00:00+00:00,235
2022-12-01 00:00:00+00:00,236
2023-01-15 00:00:00+00:00,237
2023-01-16 00:00:00+00:00,238
2023-01-26 00:00:00+00:00,239
2023-02-25 00:00:00+00:00,240
2023-02-28 00:00:00+00:00,241
2023-03-01 00:00:00+00:00,242
2023-03-07 00:00:00+00:00,243
2023-03-16 00:00:00+00:00,244
2023-03-27 00:00:00+00:00,245
2023-04-14 00:00:00+00:00,246
2023-04-26 00:00:00+00:00,247
2023-05-24 00:00:00+00:00,248
2023-06-03 00:00:00+00:00,249
2023-06-05 00:00:00+00:00,250
2023-06-16 00:00:00+00:00,251
2023-06-19 00:00:00+00:00,252
2023-07-04 00:00:00+00:00,254
2023-07-07 00:00:00+00:00,255
2023-07-08 00:00:00+00:00,256
2023-07-11 00:00:00+00:00,257
2023-07-18 00:00:00+00:00,263
2023-08-05 00:00:00+00:00,264
2023-08-15 00:00:00+00:00,265
2023-08-19 00:00:00+00:00,266
2023-09-03 00:00:00+00:00,267
2023-09-08 00:00:00+00:00,269
2023-09-14 00:00:00+00:00,270
2023-09-15 00:00:00+00:00,271
2023-11-13 00:00:00+00:00,272
2023-11-16 00:00:00+00:00,273
2023-11-18 00:00:00+00:00,274
2023-12-07 00:00:00+00:00,276
2023-12-09 00:00:00+00:00,277
2023-12-12 00:00:00+00:00,278
2023-12-14 00:00:00+00:00,279
2023-12-28 00:00:00+00:00,280
2024-01-16 00:00:00+00:00,282
2024-01-26 00:00:00+00:00,283
2024-02-19 00:00:00+00:00,284
2024-03-01 00:00:00+00:00,285
2024-03-15 00:00:00+00:00,286
2024-04-01 00:00:00+00:00,287
2024-04-11 00:00:00+00:00,288
2024-04-19 00:00:00+00:00,289
2024-04-22 00:00:00+00:00,290
2024-05-09 00:00:00+00:00,291
2024-05-13 00:00:00+00:00,293
2024-05-19 00:00:00+00:00,294
2024-05-31 00:00:00+00:00,295
