time_iso8601,stars_cumulative
2019-01-22 00:00:00+00:00,169
2019-01-29 00:00:00+00:00,170
2019-02-01 00:00:00+00:00,171
2019-02-02 00:00:00+00:00,173
2019-02-03 00:00:00+00:00,174
2019-02-06 00:00:00+00:00,175
2019-02-11 00:00:00+00:00,176
2019-02-25 00:00:00+00:00,177
2019-03-04 00:00:00+00:00,179
2019-03-05 00:00:00+00:00,180
2019-03-08 00:00:00+00:00,181
2019-03-09 00:00:00+00:00,182
2019-03-18 00:00:00+00:00,184
2019-03-19 00:00:00+00:00,185
2019-03-21 00:00:00+00:00,187
2019-03-27 00:00:00+00:00,188
2019-03-28 00:00:00+00:00,189
2019-04-03 00:00:00+00:00,190
2019-04-04 00:00:00+00:00,191
2019-04-11 00:00:00+00:00,192
2019-04-25 00:00:00+00:00,193
2019-04-26 00:00:00+00:00,194
2019-04-28 00:00:00+00:00,195
2019-04-29 00:00:00+00:00,198
2019-05-02 00:00:00+00:00,199
2019-05-03 00:00:00+00:00,201
2019-05-06 00:00:00+00:00,202
2019-05-10 00:00:00+00:00,203
2019-05-15 00:00:00+00:00,205
2019-05-17 00:00:00+00:00,206
2019-05-20 00:00:00+00:00,207
2019-05-31 00:00:00+00:00,208
2019-06-06 00:00:00+00:00,209
2019-06-08 00:00:00+00:00,210
2019-06-12 00:00:00+00:00,211
2019-06-14 00:00:00+00:00,212
2019-06-24 00:00:00+00:00,213
2019-06-27 00:00:00+00:00,214
2019-07-04 00:00:00+00:00,215
2019-07-12 00:00:00+00:00,216
2019-07-14 00:00:00+00:00,217
2019-07-15 00:00:00+00:00,218
2019-07-18 00:00:00+00:00,221
2019-07-19 00:00:00+00:00,222
2019-07-22 00:00:00+00:00,223
2019-07-24 00:00:00+00:00,224
2019-07-26 00:00:00+00:00,225
2019-08-05 00:00:00+00:00,226
2019-08-16 00:00:00+00:00,227
2019-08-21 00:00:00+00:00,228
2019-08-23 00:00:00+00:00,229
2019-08-26 00:00:00+00:00,230
2019-09-01 00:00:00+00:00,231
2019-09-03 00:00:00+00:00,232
2019-09-11 00:00:00+00:00,233
2019-10-01 00:00:00+00:00,234
2019-10-02 00:00:00+00:00,235
2019-10-10 00:00:00+00:00,236
2019-10-15 00:00:00+00:00,238
2019-10-24 00:00:00+00:00,239
2019-10-25 00:00:00+00:00,240
2019-10-27 00:00:00+00:00,241
2019-10-30 00:00:00+00:00,242
2019-11-04 00:00:00+00:00,243
2019-11-05 00:00:00+00:00,244
2019-11-07 00:00:00+00:00,246
2019-11-10 00:00:00+00:00,247
2019-11-11 00:00:00+00:00,248
2019-11-12 00:00:00+00:00,249
2019-11-16 00:00:00+00:00,250
2019-11-24 00:00:00+00:00,251
2019-11-26 00:00:00+00:00,252
2019-11-28 00:00:00+00:00,253
2019-11-29 00:00:00+00:00,254
2019-12-04 00:00:00+00:00,255
2019-12-05 00:00:00+00:00,256
2019-12-10 00:00:00+00:00,257
2019-12-23 00:00:00+00:00,258
2019-12-30 00:00:00+00:00,259
2020-01-02 00:00:00+00:00,260
2020-01-09 00:00:00+00:00,261
2020-01-16 00:00:00+00:00,263
2020-01-23 00:00:00+00:00,265
2020-01-27 00:00:00+00:00,266
2020-02-01 00:00:00+00:00,267
2020-02-03 00:00:00+00:00,268
2020-02-06 00:00:00+00:00,269
2020-02-14 00:00:00+00:00,270
2020-02-16 00:00:00+00:00,271
2020-02-17 00:00:00+00:00,273
2020-02-18 00:00:00+00:00,274
2020-02-19 00:00:00+00:00,275
2020-03-02 00:00:00+00:00,276
2020-03-04 00:00:00+00:00,277
2020-03-06 00:00:00+00:00,278
2020-03-10 00:00:00+00:00,279
2020-03-26 00:00:00+00:00,280
2020-03-27 00:00:00+00:00,281
2020-04-01 00:00:00+00:00,282
2020-04-03 00:00:00+00:00,283
2020-04-04 00:00:00+00:00,284
2020-04-14 00:00:00+00:00,285
2020-04-17 00:00:00+00:00,286
2020-04-22 00:00:00+00:00,288
2020-05-03 00:00:00+00:00,289
2020-05-04 00:00:00+00:00,290
2020-05-09 00:00:00+00:00,291
2020-05-12 00:00:00+00:00,292
2020-05-14 00:00:00+00:00,294
2020-05-15 00:00:00+00:00,295
2020-05-19 00:00:00+00:00,297
2020-05-28 00:00:00+00:00,298
2020-05-29 00:00:00+00:00,299
2020-05-30 00:00:00+00:00,300
2020-05-31 00:00:00+00:00,302
2020-06-01 00:00:00+00:00,303
2020-06-08 00:00:00+00:00,305
2020-06-11 00:00:00+00:00,306
2020-06-16 00:00:00+00:00,307
2020-06-17 00:00:00+00:00,308
2020-06-19 00:00:00+00:00,309
2020-06-25 00:00:00+00:00,310
2020-07-07 00:00:00+00:00,312
2020-07-13 00:00:00+00:00,313
2020-07-18 00:00:00+00:00,322
2020-07-19 00:00:00+00:00,323
2020-07-21 00:00:00+00:00,324
2020-07-22 00:00:00+00:00,326
2020-07-24 00:00:00+00:00,327
2020-07-26 00:00:00+00:00,328
2020-07-30 00:00:00+00:00,329
2020-08-01 00:00:00+00:00,330
2020-08-04 00:00:00+00:00,331
2020-08-06 00:00:00+00:00,332
2020-08-07 00:00:00+00:00,333
2020-08-09 00:00:00+00:00,334
2020-08-13 00:00:00+00:00,335
2020-08-17 00:00:00+00:00,336
2020-08-21 00:00:00+00:00,338
2020-08-22 00:00:00+00:00,339
2020-09-07 00:00:00+00:00,340
2020-09-08 00:00:00+00:00,341
2020-09-13 00:00:00+00:00,342
2020-09-17 00:00:00+00:00,343
2020-09-22 00:00:00+00:00,344
2020-09-24 00:00:00+00:00,345
2020-09-25 00:00:00+00:00,346
2020-10-04 00:00:00+00:00,347
2020-10-16 00:00:00+00:00,348
2020-10-19 00:00:00+00:00,349
2020-10-20 00:00:00+00:00,351
2020-10-21 00:00:00+00:00,352
2020-10-25 00:00:00+00:00,353
2020-10-26 00:00:00+00:00,354
2020-10-27 00:00:00+00:00,355
2020-10-30 00:00:00+00:00,356
2020-11-02 00:00:00+00:00,357
2020-11-06 00:00:00+00:00,358
2020-11-09 00:00:00+00:00,359
2020-11-18 00:00:00+00:00,360
2020-11-20 00:00:00+00:00,361
