#epsilon= 2.075123e-03  dim= 2
0 -7.405964e+00 441
1 -4.358501e+00 441
2 -3.390393e+00 441
3 -2.833755e+00 441
4 -2.280747e+00 441
5 -1.672437e+00 441
6 -1.141977e+00 441
7 -8.132434e-01 441
8 -7.000692e-01 441
9 -7.255538e-01 441
10 -7.144495e-01 441
11 -6.880113e-01 441
12 -6.583852e-01 441
13 -6.783905e-01 441
14 -6.979173e-01 441
15 -6.752161e-01 441
16 -6.822997e-01 441
17 -6.952819e-01 441
18 -6.641984e-01 441
19 -6.411179e-01 441
20 -7.170314e-01 441

#epsilon= 2.075123e-03  dim= 3
0 -7.276500e+00 22
1 -4.832059e+00 22
2 -3.767139e+00 22
3 -2.974240e+00 22
4 -2.411209e+00 22
5 -1.818015e+00 22
6 -1.226474e+00 22
7 -8.550431e-01 22
8 -5.125246e-01 22
9 -3.373753e-01 22
10 -4.274614e-01 22
11 -4.962801e-01 22
12 -5.515598e-01 22
13 -5.186099e-01 22
14 -5.967738e-01 22
15 -6.266674e-01 22
16 -5.925625e-01 22
17 -3.733225e-01 22
18 -1.964786e-01 22
19 -2.388460e-01 22
20 -3.390665e-01 22

#epsilon= 2.075123e-03  dim= 4

#epsilon= 3.690149e-03  dim= 2
0 -6.770255e+00 772
1 -4.227147e+00 772
2 -3.376201e+00 772
3 -2.815368e+00 772
4 -2.210656e+00 772
5 -1.583270e+00 772
6 -1.070974e+00 772
7 -7.485756e-01 772
8 -6.500095e-01 772
9 -6.426794e-01 772
10 -6.209628e-01 772
11 -6.050660e-01 772
12 -6.147541e-01 772
13 -6.137777e-01 772
14 -6.106401e-01 772
15 -5.903461e-01 772
16 -5.890386e-01 772
17 -5.873407e-01 772
18 -5.816713e-01 772
19 -5.727980e-01 772
20 -5.552042e-01 772

#epsilon= 3.690149e-03  dim= 3
0 -6.731547e+00 83
1 -4.502245e+00 83
2 -3.463083e+00 83
3 -2.751656e+00 83
4 -2.220843e+00 83
5 -1.605806e+00 83
6 -1.044680e+00 83
7 -7.098988e-01 83
8 -4.484658e-01 83
9 -3.568495e-01 83
10 -4.582014e-01 83
11 -5.537028e-01 83
12 -6.050160e-01 83
13 -5.299486e-01 83
14 -5.080510e-01 83
15 -5.104585e-01 83
16 -4.708197e-01 83
17 -4.647901e-01 83
18 -4.411453e-01 83
19 -3.659161e-01 83
20 -3.654556e-01 83

#epsilon= 3.690149e-03  dim= 4
0 -6.494797e+00 6
